Date;Chrome;IE;Firefox;Safari;Opera;Edge;Unknown
2009-01;0.0138;0.6541;0.2703;0.0257;0.0292;0;0.0069
2009-02;0.0152;0.6443;0.2785;0.0259;0.0295;0;0.0066
2009-03;0.0173;0.6252;0.294;0.0273;0.0294;0;0.0068
2009-04;0.0207;0.6188;0.2967;0.0275;0.0296;0;0.0067
2009-05;0.0242;0.6209;0.2875;0.0265;0.0323;0;0.0086
2009-06;0.0282;0.5949;0.3033;0.0293;0.0336;0;0.0107
2009-07;0.0301;0.6011;0.305;0.0302;0.0264;0;0.0072
2009-08;0.0338;0.5869;0.3128;0.0325;0.0267;0;0.0073
2009-09;0.0369;0.5837;0.3134;0.0328;0.0262;0;0.007
2009-10;0.0417;0.5796;0.3182;0.0347;0.0188;0;0.007
2009-11;0.0466;0.5657;0.3221;0.0367;0.0202;0;0.0087
2009-12;0.0545;0.5572;0.3197;0.0348;0.0206;0;0.0132
2010-01;0.0604;0.5525;0.3164;0.0376;0.02;0;0.0131
2010-02;0.0672;0.545;0.3182;0.0408;0.0197;0;0.0091
2010-03;0.0729;0.5444;0.3127;0.0416;0.0197;0;0.0087
2010-04;0.0806;0.5326;0.3174;0.0423;0.0182;0;0.0089
2010-05;0.0861;0.5277;0.3164;0.0414;0.0196;0;0.0088
2010-06;0.0924;0.5286;0.3115;0.0407;0.0191;0;0.0077
2010-07;0.0988;0.5268;0.3069;0.0409;0.0191;0;0.0075
2010-08;0.1076;0.5134;0.3109;0.0423;0.0188;0;0.007
2010-09;0.1154;0.4987;0.315;0.0442;0.0203;0;0.0064
2010-10;0.1239;0.4921;0.3124;0.0456;0.02;0;0.006
2010-11;0.1335;0.4816;0.3117;0.047;0.0201;0;0.0061
2010-12;0.1485;0.4694;0.3076;0.0479;0.0207;0;0.0059
2011-01;0.1568;0.46;0.3068;0.0509;0.02;0;0.0055
2011-02;0.1654;0.4544;0.3037;0.0508;0.02;0;0.0057
2011-03;0.1737;0.4511;0.2998;0.0502;0.0197;0;0.0055
2011-04;0.1829;0.4452;0.2967;0.0504;0.0191;0;0.0057
2011-05;0.1936;0.4387;0.2929;0.0501;0.0184;0;0.0063
