Date	Apple-Price	Apple Change	Apple Change %	Microsoft-Price	Microsoft-Change	Microsoft Change %
2017-05-31	152.76	-0.91	-0.008323424	69.84	-0.57	-0.012189906
2017-05-30	153.67	0.06	0.000548797	70.41	0.45	0.00962361
2017-05-26	153.61	-0.26	-0.002378121	69.96	0.34	0.007271172
2017-05-25	153.87	0.53	0.004847709	69.62	0.85	0.01817793
2017-05-24	153.34	-0.46	-0.004207445	68.77	0.09	0.001924722
2017-05-23	153.8	-0.19	-0.001737858	68.68	0.23	0.004918734
2017-05-22	153.99	0.93	0.008506357	68.45	0.76	0.016253208
2017-05-19	153.06	0.52	0.004756243	67.69	-0.02	-0.000427716
2017-05-18	152.54	2.29	0.020945761	67.71	0.23	0.004918734
2017-05-17	150.25	-5.22	-0.047745358	67.48	-1.93	-0.041274594
2017-05-16	155.47	-0.23	-0.002103723	69.41	0.98	0.020958084
2017-05-15	155.7	-0.4	-0.003658648	68.43	0.05	0.00106929
2017-05-12	156.1	2.15	0.019665234	68.38	-0.08	-0.001710864
2017-05-11	153.95	0.69	0.006311168	68.46	-0.85	-0.01817793
2017-05-10	153.26	-0.73	-0.006677033	69.31	0.27	0.005774166
2017-05-09	153.99	0.98	0.008963688	69.04	0.1	0.00213858
2017-05-08	153.01	4.05	0.037043812	68.94	-0.06	-0.001283148
2017-05-05	148.96	2.43	0.022226287	69	0.19	0.004063302
2017-05-04	146.53	-0.53	-0.004847709	68.81	-0.27	-0.005774166
2017-05-03	147.06	-0.45	-0.004115979	69.08	-0.22	-0.004704876
2017-05-02	147.51	0.93	0.008506357	69.3	-0.11	-0.002352438
2017-05-01	146.58	2.93	0.026799598	69.41	0.95	0.02031651
2017-04-28	143.65	-0.14	-0.001280527	68.46	0.19	0.004063302
2017-04-27	143.79	0.11	0.001006128	68.27	0.44	0.009409752
2017-04-26	143.68	-0.85	-0.007774627	67.83	-0.09	-0.001924722
2017-04-25	144.53	0.89	0.008140492	67.92	0.39	0.008340462
2017-04-24	143.64	1.37	0.01253087	67.53	1.13	0.024165954
2017-04-21	142.27	-0.17	-0.001554925	66.4	0.9	0.01924722
2017-04-20	142.44	1.76	0.016098052	65.5	0.46	0.009837468
2017-04-19	140.68	-0.52	-0.004756243	65.04	-0.35	-0.00748503
2017-04-18	141.2	-0.63	-0.005762371	65.39	-0.09	-0.001924722
2017-04-17	141.83	0.78	0.007134364	65.48	0.53	0.011334474
2017-04-13	141.05	-0.75	-0.006859965	64.95	-0.28	-0.005988024
2017-04-12	141.8	0.17	0.001554925	65.23	-0.25	-0.00534645
2017-04-11	141.63	-1.54	-0.014085795	65.48	-0.05	-0.00106929
2017-04-10	143.17	-0.17	-0.001554925	65.53	-0.15	-0.00320787
2017-04-07	143.34	-0.32	-0.002926919	65.68	-0.05	-0.00106929
2017-04-06	143.66	-0.36	-0.003292783	65.73	0.17	0.003635586
2017-04-05	144.02	-0.75	-0.006859965	65.56	-0.17	-0.003635586
2017-04-04	144.77	1.07	0.009786884	65.73	0.18	0.003849444
2017-04-03	143.7	0.04	0.000365865	65.55	-0.31	-0.006629598
2017-03-31	143.66	-0.27	-0.002469587	65.86	0.15	0.00320787
2017-03-30	143.93	-0.19	-0.001737858	65.71	0.24	0.005132592
2017-03-29	144.12	0.32	0.002926919	65.47	0.18	0.003849444
2017-03-28	143.8	2.92	0.026708131	65.29	0.19	0.004063302
2017-03-27	140.88	0.24	0.002195189	65.1	0.12	0.002566296
2017-03-24	140.64	-0.28	-0.002561054	64.98	0.11	0.002352438
2017-03-23	140.92	-0.5	-0.00457331	64.87	-0.16	-0.003421728
2017-03-22	141.42	1.58	0.01445166	65.03	0.82	0.017536356
2017-03-21	139.84	-1.62	-0.014817525	64.21	-0.72	-0.015397776
2017-03-20	141.46	1.47	0.013445532	64.93	0.06	0.001283148
2017-03-17	139.99	-0.7	-0.006402634	64.87	0.23	0.004918734
2017-03-16	140.69	0.23	0.002103723	64.64	-0.11	-0.002352438
2017-03-15	140.46	1.47	0.013445532	64.75	0.34	0.007271172
2017-03-14	138.99	-0.21	-0.00192079	64.41	-0.3	-0.00641574
2017-03-13	139.2	0.06	0.000548797	64.71	-0.22	-0.004704876
2017-03-10	139.14	0.46	0.004207445	64.93	0.2	0.00427716
2017-03-09	138.68	-0.32	-0.002926919	64.73	-0.26	-0.005560308
2017-03-08	139	-0.52	-0.004756243	64.99	0.59	0.012617622
2017-03-07	139.52	0.18	0.001646392	64.4	0.13	0.002780154
2017-03-06	139.34	-0.44	-0.004024513	64.27	0.02	0.000427716
2017-03-03	139.78	0.82	0.007500229	64.25	0.24	0.005132592
2017-03-02	138.96	-0.83	-0.007591695	64.01	-0.93	-0.019888794
2017-03-01	139.79	2.8	0.025610537	64.94	0.96	0.020530368
2017-02-28	136.99	0.06	0.000548797	63.98	-0.25	-0.00534645
2017-02-27	136.93	0.27	0.002469587	64.23	-0.39	-0.008340462
2017-02-24	136.66	0.13	0.001189061	64.62	0	0
2017-02-23	136.53	-0.58	-0.00530504	64.62	0.26	0.005560308
2017-02-22	137.11	0.41	0.003750114	64.36	-0.13	-0.002780154
2017-02-21	136.7	0.98	0.008963688	64.49	-0.13	-0.002780154
2017-02-17	135.72	0.38	0.003475716	64.62	0.1	0.00213858
2017-02-16	135.34	-0.17	-0.001554925	64.52	-0.01	-0.000213858
2017-02-15	135.51	0.49	0.004481844	64.53	-0.04	-0.000855432
2017-02-14	135.02	1.73	0.015823653	64.57	-0.15	-0.00320787
2017-02-13	133.29	1.17	0.010701546	64.72	0.72	0.015397776
2017-02-10	132.12	-0.3	-0.002743986	64	-0.06	-0.001283148
2017-02-09	132.42	0.38	0.003475716	64.06	0.72	0.015397776
2017-02-08	132.04	0.51	0.004664776	63.34	-0.09	-0.001924722
2017-02-07	131.53	1.24	0.011341809	63.43	-0.21	-0.004491018
2017-02-06	130.29	1.21	0.011067411	63.64	-0.04	-0.000855432
2017-02-03	129.08	0.55	0.005030641	63.68	0.51	0.010906758
2017-02-02	128.53	-0.22	-0.002012256	63.17	-0.41	-0.008768178
2017-02-01	128.75	7.4	0.06768499	63.58	-1.07	-0.022882806
2017-01-31	121.35	-0.28	-0.002561054	64.65	-0.48	-0.010265184
2017-01-30	121.63	-0.32	-0.002926919	65.13	-0.65	-0.01390077
2017-01-27	121.95	0.01	9.14662E-05	65.78	1.51	0.032292558
2017-01-26	121.94	0.06	0.000548797	64.27	0.59	0.012617622
2017-01-25	121.88	1.91	0.017470045	63.68	0.16	0.003421728
2017-01-24	119.97	-0.11	-0.001006128	63.52	0.56	0.011976048
2017-01-23	120.08	0.08	0.00073173	62.96	0.22	0.004704876
2017-01-20	120	0.22	0.002012256	62.74	0.44	0.009409752
2017-01-19	119.78	-0.21	-0.00192079	62.3	-0.2	-0.00427716
2017-01-18	119.99	-0.01	-9.14662E-05	62.5	-0.03	-0.000641574
2017-01-17	120	0.96	0.008780756	62.53	-0.17	-0.003635586
2017-01-13	119.04	-0.21	-0.00192079	62.7	0.09	0.001924722
2017-01-12	119.25	-0.5	-0.00457331	62.61	-0.58	-0.012403764
2017-01-11	119.75	0.64	0.005853837	63.19	0.57	0.012189906
2017-01-10	119.11	0.12	0.001097594	62.62	-0.02	-0.000427716
2017-01-09	118.99	1.08	0.00987835	62.64	-0.2	-0.00427716
2017-01-06	117.91	1.3	0.011890606	62.84	0.54	0.011548332
2017-01-05	116.61	0.59	0.005396506	62.3	0	0
2017-01-04	116.02	-0.13	-0.001189061	62.3	-0.28	-0.005988024
2017-01-03	116.15	0.33	0.003018385	62.58	0.44	0.009409752
2016-12-30	115.82	-0.91	-0.008323424	62.14	-0.76	-0.016253208
2016-12-29	116.73	-0.03	-0.000274399	62.9	-0.09	-0.001924722
2016-12-28	116.76	-0.5	-0.00457331	62.99	-0.29	-0.006201882
2016-12-27	117.26	0.74	0.006768499	63.28	0.04	0.000855432
2016-12-23	116.52	0.23	0.002103723	63.24	-0.31	-0.006629598
2016-12-22	116.29	-0.77	-0.007042898	63.55	0.01	0.000213858
2016-12-21	117.06	0.11	0.001006128	63.54	0	0
2016-12-20	116.95	0.31	0.002835452	63.54	-0.08	-0.001710864
2016-12-19	116.64	0.67	0.006128236	63.62	1.32	0.028229256
2016-12-16	115.97	0.15	0.001371993	62.3	-0.28	-0.005988024
2016-12-15	115.82	0.63	0.005762371	62.58	-0.1	-0.00213858
2016-12-14	115.19	0	0	62.68	-0.3	-0.00641574
2016-12-13	115.19	1.89	0.017287112	62.98	0.81	0.017322498
